X1,X2,Label
0.191919192,0.416730622,0
-0.555555556,0.002302379,0
-0.727272727,0.094397544,0
-0.656565657,-0.057559478,0
-0.868686869,-0.375287797,0
0.464646465,-0.339984651,0
0.464646465,0.835763622,0
-0.343434343,0.014581734,0
-0.242424242,0.429009977,0
0.363636364,0.73599386,0
0.02020202,1,0
-1,-0.181887951,0
-0.262626263,0.065234075,0
-0.050505051,0.686876439,0
0.767676768,-0.410590944,0
-0.121212121,-0.013046815,1
1,-0.13277053,1
-0.03030303,-0.461243285,1
0.555555556,-0.433614735,1
-0.232323232,0.117421335,1
-0.222222222,-1,1
0.151515152,-0.771297007,1
0.232323232,-0.754412893,1
0.232323232,-0.912509593,1
0.101010101,-0.975441289,1
-0.02020202,-0.582501919,1
0.161616162,-0.468917882,1
0.525252525,-0.748273216,1
-0.070707071,-0.860322333,1
0.464646465,-0.628549501,1
